,text,token,annotation
0,"I have cluster of 4nodes 2001,2002,2003 & 2004.
They are bind using goraft.
Supppose 2001 is master server.
Now when it fails, another node becomes the server.
Now what I want is that, the node which becomes the current server should send message that I am the new LEADER.
So how to achieve that?
I am using GORAFT with GORAFD implementation.
I am here attaching the source code.

main.go - For CLient

","['I', 'have', 'cluster', 'of', '4nodes', '2001,2002,2003', '&', '2004.', 'They', 'are', 'bind', 'using', 'goraft.', 'Supppose', '2001', 'is', 'master', 'server.', 'Now', 'when', 'it', 'fails,', 'another', 'node', 'becomes', 'the', 'server.', 'Now', 'what', 'I', 'want', 'is', 'that,', 'the', 'node', 'which', 'becomes', 'the', 'current', 'server', 'should', 'send', 'message', 'that', 'I', 'am', 'the', 'new', 'LEADER.', 'So', 'how', 'to', 'achieve', 'that?', 'I', 'am', 'using', 'GORAFT', 'with', 'GORAFD', 'implementation.', 'I', 'am', 'here', 'attaching', 'the', 'source', 'code.', 'main.go', '-', 'For', 'CLient']","['PRP', 'VBP', 'NN', 'IN', 'CD', 'CD', 'CC', 'CD', 'PRP', 'VBP', 'IN', 'VBG', 'NN', 'NNP', 'CD', 'VBZ', 'RBR', 'RB', 'RB', 'WRB', 'PRP', 'VBZ', 'DT', 'NN', 'VBZ', 'DT', 'NN', 'RB', 'WP', 'PRP', 'VBP', 'VBZ', 'IN', 'DT', 'NN', 'WDT', 'VBZ', 'DT', 'JJ', 'NN', 'MD', 'VB', 'NN', 'IN', 'PRP', 'VBP', 'DT', 'JJ', 'NNP', 'NNP', 'WRB', 'TO', 'VB', 'NN', 'PRP', 'VBP', 'VBG', 'NNP', 'IN', 'NNP', 'NN', 'PRP', 'VBP', 'RB', 'VBG', 'DT', 'NN', 'NN', 'SYM', ':', 'IN', 'NN']"
1,package main,"['package', 'main']","['KEYWORD', 'IDENTIFIER']"
2,import (,"['import', '(']","['KEYWORD', 'PUNCTUATION']"
3,"    ""flag""","['""flag""']",['STRING_LITERAL']
4,"    ""fmt""","['""fmt""']",['STRING_LITERAL']
5,"    ""github.com/goraft/raft""","['""github.com/goraft/raft""']",['STRING_LITERAL']
6,"    ""github.com/goraft/raftd/command""","['""github.com/goraft/raftd/command""']",['STRING_LITERAL']
7,"    ""github.com/goraft/raftd/server""","['""github.com/goraft/raftd/server""']",['STRING_LITERAL']
8,"    ""log""","['""log""']",['STRING_LITERAL']
9,"    ""math/rand""","['""math/rand""']",['STRING_LITERAL']
10,"    ""os""","['""os""']",['STRING_LITERAL']
11,"    ""time""","['""time""']",['STRING_LITERAL']
12,"    ""strconv""","['""strconv""']",['STRING_LITERAL']
13,),[')'],['PUNCTUATION']
14,var verbose bool,"['var', 'verbose', 'bool']","['KEYWORD', 'IDENTIFIER', 'IDENTIFIER']"
15,var trace bool,"['var', 'trace', 'bool']","['KEYWORD', 'IDENTIFIER', 'IDENTIFIER']"
16,var debug bool,"['var', 'debug', 'bool']","['KEYWORD', 'IDENTIFIER', 'IDENTIFIER']"
17,var host string,"['var', 'host', 'string']","['KEYWORD', 'IDENTIFIER', 'IDENTIFIER']"
18,var port int,"['var', 'port', 'int']","['KEYWORD', 'IDENTIFIER', 'IDENTIFIER']"
19,var join string,"['var', 'join', 'string']","['KEYWORD', 'IDENTIFIER', 'IDENTIFIER']"
20,func init() {,"['func', 'init', '()', '{']","['KEYWORD', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION']"
21,    flag.Parse(),['flag.Parse()'],['FUNCTION_CALL']
22,"    flag.BoolVar(&verbose, ""v"", false, ""verbose logging"")","['flag.BoolVar(&verbose, ""v"", false, ""verbose logging"")']",['FUNCTION_CALL']
23,"    flag.BoolVar(&trace, ""trace"", false, ""Raft trace debugging"")","['flag.BoolVar(&trace, ""trace"", false, ""Raft trace debugging"")']",['FUNCTION_CALL']
24,"    flag.BoolVar(&debug, ""debug"", false, ""Raft debugging"")","['flag.BoolVar(&debug, ""debug"", false, ""Raft debugging"")']",['FUNCTION_CALL']
25,"    flag.StringVar(&host, ""h"", ""localhost"", ""hostname"")","['flag.StringVar(&host, ""h"", ""localhost"", ""hostname"")']",['FUNCTION_CALL']
26,"    p,_:=strconv.Atoi(flag.Arg(1))","['p', ',', '_', ':=', 'strconv.Atoi(flag.Arg(1))']","['IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'ASSIGNMENT_OPERATOR', 'FUNCTION_CALL']"
27,"    flag.IntVar(&port, ""p"", p, ""port"")","['flag.IntVar(&port, ""p"", p, ""port"")']",['FUNCTION_CALL']
28,"    flag.StringVar(&join, ""join"", """", ""host:port of leader to join"")","['flag.StringVar(&join, ""join"", """", ""host:port of leader to join"")']",['FUNCTION_CALL']
29,    flag.Usage = func() {,"['flag', '.', 'Usage', '=', 'func', '()', '{']","['IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'ASSIGNMENT_OPERATOR', 'KEYWORD', 'PUNCTUATION', 'PUNCTUATION']"
30,"        fmt.Fprintf(os.Stderr, ""Usage: %s [arguments]  \n"", os.Args[0])","['fmt.Fprintf(os.Stderr, ""Usage: %s [arguments]  \\n"", os.Args[0])']",['FUNCTION_CALL']
31,        flag.PrintDefaults(),['flag.PrintDefaults()'],['FUNCTION_CALL']
32,    },['}'],['PUNCTUATION']
33,},['}'],['PUNCTUATION']
34,func main() {,"['func', 'main', '()', '{']","['KEYWORD', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION']"
35,    log.SetFlags(0),['log.SetFlags(0)'],['FUNCTION_CALL']
36,    flag.Parse(),['flag.Parse()'],['FUNCTION_CALL']
37,    if verbose {,"['if', 'verbose', '{']","['KEYWORD', 'IDENTIFIER', 'PUNCTUATION']"
38,"        log.Print(""Verbose logging enabled."")","['log.Print(""Verbose logging enabled."")']",['FUNCTION_CALL']
39,    },['}'],['PUNCTUATION']
