,text,token,annotation
0,"You've got two things at work here.  The first of which is that Go is compiled to machine code and run directly on the CPU while Python is compiled to bytecode run against a (particularly slow) VM.

The second, and more significant, thing impacting performance is that the semantics of the two programs are actually significantly different.  The Go version makes a ""box"" called ""x"" that holds a number and increments that by 1 on each pass through the program.  The Python version actually has to create a new ""box"" (int object) on each cycle (and, eventually, has to throw them away).  We can demonstrate this by modifying your programs slightly:

","[""You've"", 'got', 'two', 'things', 'at', 'work', 'here.', 'The', 'first', 'of', 'which', 'is', 'that', 'Go', 'is', 'compiled', 'to', 'machine', 'code', 'and', 'run', 'directly', 'on', 'the', 'CPU', 'while', 'Python', 'is', 'compiled', 'to', 'bytecode', 'run', 'against', 'a', '(particularly', 'slow)', 'VM.', 'The', 'second,', 'and', 'more', 'significant,', 'thing', 'impacting', 'performance', 'is', 'that', 'the', 'semantics', 'of', 'the', 'two', 'programs', 'are', 'actually', 'significantly', 'different.', 'The', 'Go', 'version', 'makes', 'a', '""box""', 'called', '""x""', 'that', 'holds', 'a', 'number', 'and', 'increments', 'that', 'by', '1', 'on', 'each', 'pass', 'through', 'the', 'program.', 'The', 'Python', 'version', 'actually', 'has', 'to', 'create', 'a', 'new', '""box""', '(int', 'object)', 'on', 'each', 'cycle', '(and,', 'eventually,', 'has', 'to', 'throw', 'them', 'away).', 'We', 'can', 'demonstrate', 'this', 'by', 'modifying', 'your', 'programs', 'slightly:']","['NNP', 'VBD', 'CD', 'NNS', 'IN', 'NN', 'NN', 'DT', 'JJ', 'IN', 'WDT', 'VBZ', 'IN', 'NNP', 'VBZ', 'VBN', 'TO', 'NN', 'NN', 'CC', 'VB', 'RB', 'IN', 'DT', 'NNP', 'IN', 'NNP', 'VBZ', 'VBN', 'TO', 'VB', 'VB', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'DT', 'NN', 'CC', 'JJR', 'JJ', 'NN', 'VBG', 'NN', 'VBZ', 'IN', 'DT', 'NNS', 'IN', 'DT', 'CD', 'NNS', 'VBP', 'RB', 'RB', 'VB', 'DT', 'NNP', 'NN', 'VBZ', 'DT', 'NN', 'VBN', 'NN', 'WDT', 'VBZ', 'DT', 'NN', 'CC', 'NNS', 'IN', 'IN', 'CD', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'DT', 'NNP', 'NN', 'RB', 'VBZ', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', 'NN', 'IN', 'DT', 'NN', 'NNP', 'NN', 'VBZ', 'TO', 'VB', 'PRP', 'IN', 'PRP', 'MD', 'VB', 'DT', 'IN', 'VBG', 'PRP$', 'NNS', 'VBP']"
1,package main,"['package', 'main']","['KEYWORD', 'IDENTIFIER']"
2,import (,"['import', '(']","['KEYWORD', 'PUNCTUATION']"
3,"    ""fmt""","['""fmt""']",['STRING_LITERAL']
4,),[')'],['PUNCTUATION']
5,func main() {,"['func', 'main', '()', '{']","['KEYWORD', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION']"
6,    for i := 0; i < 10; i++ {,"['for', 'i', ':=', '0', ';', 'i', '<', '10', ';', 'i', '++', '{']","['KEYWORD', 'IDENTIFIER', 'ASSIGNMENT_OPERATOR', 'OCTAL_LITERAL', 'PUNCTUATION', 'IDENTIFIER', 'RELATION_OPERATOR', 'DECIMAL_LITERAL', 'PUNCTUATION', 'IDENTIFIER', 'ARITHMETIC_OPERATOR', 'PUNCTUATION']"
7,"        fmt.Printf(""%d %p\n"", i, &i)","['fmt.Printf(""%d %p\\n"", i, &i)']",['FUNCTION_CALL']
8,    },['}'],['PUNCTUATION']
9,},['}'],['PUNCTUATION']
